Roll_Radians,Pitch_Radians,Yaw_Radians,Latitude,Longitude,Acc_Net,Altitude,Voltage,System_State
-2.524,0.58,-1.119,0.0,0.0,1.238,454.666,0.206,0
-2.527,0.565,-1.119,0.0,0.0,1.087,454.665,0.206,0
-2.548,0.596,-1.152,0.0,0.0,1.038,454.642,0.206,0
-2.471,0.646,-1.078,0.0,0.0,1.332,454.641,0.206,0
-2.415,0.705,-1.004,0.0,0.0,1.542,454.618,0.206,0
-2.422,0.722,-1.001,0.0,0.0,1.228,454.616,0.206,0
-2.24,0.862,-0.769,0.0,0.0,1.265,454.591,0.206,0
-2.2,0.874,-0.709,0.0,0.0,1.317,454.598,0.206,0
-2.216,0.852,-0.724,0.0,0.0,1.229,454.617,0.206,0
-2.216,0.811,-0.96,0.0,0.0,1.502,454.636,0.206,0
-2.336,0.778,-1.087,0.0,0.0,1.381,454.638,0.217,0
-2.399,0.723,-1.112,0.0,0.0,1.389,454.626,0.217,0
-2.396,0.709,-1.119,0.0,0.0,1.169,454.661,0.217,0
-2.585,0.691,-1.407,0.0,0.0,1.888,454.644,0.206,0
-2.495,0.669,-1.273,0.0,0.0,1.177,454.678,0.227,0
-2.511,0.693,-1.29,0.0,0.0,1.421,454.656,0.217,0
-2.514,0.688,-1.267,0.0,0.0,1.335,454.686,0.217,0
-2.512,0.668,-1.249,0.0,0.0,1.092,454.678,0.227,0
-2.534,0.681,-1.282,0.0,0.0,1.137,454.667,0.227,0
-2.528,0.687,-1.282,0.0,0.0,1.132,454.701,0.227,0
-2.522,0.662,-1.27,0.0,0.0,1.23,454.702,0.227,0
-2.515,0.65,-1.253,0.0,0.0,1.332,454.764,0.217,0
-2.484,0.563,-1.195,0.0,0.0,1.293,454.782,0.227,0
-2.483,0.562,-1.209,0.0,0.0,1.193,454.807,0.227,0
-2.462,0.501,-1.174,0.0,0.0,1.107,454.79,0.217,0
-2.459,0.501,-1.189,0.0,0.0,1.154,454.787,0.227,0
-2.457,0.509,-1.209,0.0,0.0,1.096,454.786,0.217,0
-2.446,0.494,-1.211,0.0,0.0,1.282,454.797,0.217,0
-2.439,0.483,-1.2,0.0,0.0,1.226,454.791,0.227,0
-2.434,0.481,-1.197,0.0,0.0,1.249,454.774,0.227,0
-2.437,0.493,-1.187,0.0,0.0,1.201,454.786,0.217,0
-2.45,0.536,-1.177,0.0,0.0,1.244,454.772,0.217,0
-2.455,0.501,-1.135,0.0,0.0,1.25,454.742,0.217,0
-2.48,0.51,-1.114,0.0,0.0,1.334,454.731,0.217,0
-2.479,0.527,-1.089,0.0,0.0,1.264,454.74,0.227,0
