Roll_Radians,Pitch_Radians,Yaw_Radians,Latitude,Longitude,Acc_Net,Altitude,Voltage,System_State
-2.957,-0.285,2.392,0.0,0.0,1.293,454.708,0.206,0
-2.979,-0.247,2.397,0.0,0.0,1.354,454.71,0.206,0
-3.003,-0.189,2.379,0.0,0.0,1.291,454.685,0.206,0
-3.053,-0.136,2.37,0.0,0.0,1.265,454.726,0.206,0
-3.07,-0.059,2.365,0.0,0.0,1.356,454.717,0.206,0
-3.139,0.031,2.361,0.0,0.0,1.337,454.753,0.196,0
3.043,0.123,2.413,0.0,0.0,1.346,454.757,0.206,0
2.936,0.221,2.469,0.0,0.0,1.381,454.776,0.206,0
2.846,0.392,2.565,0.0,0.0,1.427,454.778,0.206,0
2.779,0.526,2.606,0.0,0.0,1.279,454.813,0.206,0
2.736,0.616,2.632,0.0,0.0,1.395,454.872,0.206,0
2.749,0.68,2.686,0.0,0.0,1.389,454.842,0.206,0
2.764,0.738,2.73,0.0,0.0,1.295,454.89,0.206,0
2.894,0.848,2.921,0.0,0.0,1.313,454.894,0.206,0
-3.097,0.93,-2.973,0.0,0.0,1.468,454.917,0.206,0
-2.677,0.89,-2.467,0.0,0.0,1.369,454.925,0.206,0
-2.405,0.716,-2.142,0.0,0.0,1.412,454.94,0.206,0
-2.239,0.543,-2.073,0.0,0.0,1.141,454.944,0.206,0
-2.103,0.264,-1.997,0.0,0.0,1.195,454.969,0.206,0
-1.94,0.054,-2.049,0.0,0.0,1.217,454.965,0.206,0
-1.722,0.03,-2.155,0.0,0.0,1.282,454.983,0.206,0
-1.399,0.103,-2.199,0.0,0.0,1.122,454.987,0.206,0
-1.024,0.222,-2.098,0.0,0.0,1.038,455.014,0.206,0
-0.65,0.299,-1.915,0.0,0.0,0.971,455.052,0.206,0
-0.317,0.324,-1.681,0.0,0.0,1.076,455.062,0.206,0
0.048,0.227,-1.38,0.0,0.0,1.118,455.03,0.206,0
0.327,0.04,-1.107,0.0,0.0,1.287,455.005,0.206,0
0.463,-0.129,-0.976,0.0,0.0,0.964,454.99,0.206,0
0.543,-0.392,-0.975,0.0,0.0,1.01,454.998,0.206,0
0.673,-0.576,-1.203,0.0,0.0,1.323,454.955,0.206,0
0.739,-0.628,-1.423,0.0,0.0,1.352,454.924,0.206,0
0.794,-0.591,-1.688,0.0,0.0,1.32,454.943,0.206,0
0.826,-0.55,-1.928,0.0,0.0,1.365,454.961,0.206,0
0.844,-0.45,-2.209,0.0,0.0,1.425,454.952,0.206,0
0.879,-0.317,-2.494,0.0,0.0,1.389,454.949,0.206,0
0.892,-0.175,-2.694,0.0,0.0,1.404,454.972,0.206,0
0.992,-0.132,-2.721,0.0,0.0,1.333,454.959,0.206,0
1.112,-0.157,-2.677,0.0,0.0,1.341,454.965,0.206,0
